Final List of Articles,Balanace,Researcher notes about benefits,Researcher notes about risks,"Risks or benefits that weren't metnioned, but may be relevant",Tone towards AI,1-2 sentence summary,Application,Other comments worth calling out
2024-11-06 - RNZ - New Zealand AI tech company Mi,Only Benefits,,,,Positive,"AI is being used to identify blemishes in cow hide, for fast processing of orders and quality assessment. ",Concrete/existing,
2024-11-06 - TST - Deepfake of academic used to h,Only Risks,,,,Negative,AI is being used to make deepfake scam videos of a New Zealand academic to sell products online. ,Concrete/existing,
2024-11-08 - SCP - AI Expert Concerned No Maori W,Only Risks,,"From context, it's clear that the type of bias described is Risk 1.3 (unequal performance for different subgroups). ",,Negative,"Describes concerns from an academic about the accuracy of facial recognition technology for the Identity Check tool, particularly for Māori and Pasifica. ",Concrete/existing,
2024-11-08 - STF - Keeping an eye on the road as,Only Benefits,"I'm assuming that the reference to insurance costs is that use of AI monitorying allows more informed decision-making on the part of the insurers, therefore keeping costs of insurance down because they can prove they are low risk. ","Although this talks about using surveillance technology on employees (which could be relevant to Risks 4.1 and/or 6.2 depending on exactly how it's used), the article doesn't draw attention to this as a risk, and presents it positively, so I haven't coded it as a reference to these risks. ",,Positive,A company sells technology that can be used to monitor truck drivers and coach drivers for better safety on the road. ,Concrete/existing,
2024-11-11 - RNZ - Deep fake porn showing up in N,Only Risks,,"Mentions that the law isn't currently clear on the legality of deepfake porn (Risk 6.5).  Because the deepfake porn is of young people, I'm coding this as both creating images for targeted manipulation or abuse (Risk 4.3) and Toxic content (Risk 1.2) ",,Negative,"There is an increase of deepfake pornography being made and shared at New Zealand high schools, and the law is currently unclear on whether this is illegal. ",Concrete/existing,
2024-11-13 - PST - NZ firms AI detects disease in,Only Benefits,,"Although it mentions that they're trying to replicate how humans would monitor animal health, it notably doesn't mention potential loss of jobs. ",,Positive,New monitoring systems use AI to monitor the health of animals on farms. ,Concrete/existing,
2024-11-18 - RNZ - AI tutors show promise but sho,Both Risks and Benefits,,,,Ambivalent,"Describes different ways AI can benefit students and teachers in the classroom, including AI systems that provide feedback on students' answers, and those that can support teachers for planning and teaching. ",Both concrete and potential,
2024-11-25 - STF - Dan Carter takes ride in Kiwis,Only Benefits,,,,Positive,Describes the possiblity of self-driving cars to arrive in New Zealand. ,Both concrete and potential,
2024-11-29 - STF - Asleep at the wheel Self-driv,Both Risks and Benefits,,"There's an exmaple of overreliance on AI systems, but the news article doesn't draw explicit attention to it, other than in the context of the court case. ",,Ambivalent,A court case is currently being decided about a case where a driver allegely fell asleep in a self-driving car. ,Concrete/existing,
2024-12-03 - RNZ - Adopting a single AI app for g,Both Risks and Benefits,,,,Positive,"Describes current and planned AI use in government, including facial recognition to verify identity, and AI use to remove private information from user-entered forms. ",Both concrete and potential,
2024-12-04 - NZH - AI has been a long time coming,Only Benefits,,,,Ambivalent,"A short description of the history of AI, including use by Google and Facebook/Meta.",Concrete/existing,
2024-12-04 - NZH - The rapid rise and rise of,Both Risks and Benefits,,"This isn't a reference to an AI arms race (Risk 6.4) as it mentions the focus and investment from a range of AI companies, but DOESN'T mention or reference how this could be risky or result in harm (e.g. no mention of unsafe practices of skipping corners in safety to release models faster and keep up with competition). ",,Ambivalent,"Describes a range of AI technologies in everyday life, or upcoming, across customer service, the medical profession, use in farming, and government.",Both concrete and potential,
2024-12-05 - PRS - New Zealands first AI gym open,Only Benefits,,,,Positive,A 'smart gym' in Auckland automatically sets the workout routine and tracks your progress. ,Concrete/existing,
2024-12-06 - STF - Next-gen AI is on its way  for,Both Risks and Benefits,,"This article doesn't explicitly reference the challenge of regulating AI, or the potential for AI policies to be out of date, but it does reference recommendations to update standards for AI use in procurement, development and deployment. Therefore, I'll count this as a reference to Risk 6.5 (Governance challenges) as the guidance to update policies seems to be implying that policies could be out of date. ",,Positive,"Profiles Tom Gruber, a founder behind Siri, and discusses his expectations about AGI. ",Hypothetical or predicted,
"2024-12-12 - PRS - AI speaks for rainforest, has",Only Benefits,,,,Positive,Describes an environmental awareness group that used AI to create a chatbot that 'speaks for the rainforest.',Concrete/existing,
2024-12-12 - RNZ - Data centres ride AI boom in w,Both Risks and Benefits,,,,Ambivalent,Describes environmental consequences of data centres in New Zealand and overseas.,Both concrete and potential,
2024-12-15 - RNZ - AI influencing Christmas gift,Both Risks and Benefits,,"It doesn't explicitly reference the risk of over-reliance (Risk 5.1) or using the AI in an inappropriate manner, although it does rmention that some people prefer presents that have had personal thought (not AI) put into selecting them. Therefore, I'm not counting this as a reference to Risk 5.1",,Ambivalent,"Suggests a number of ways generative AI can be used to help make the Christmas period easier, including gift suggestions, menu planning and games for kids on long car trips. ",Concrete/existing,"Describes a few risks or negative potentials for AI (it can get stuck thinking about prior content of the conversation; it can be commercialised). Therefore, ambivalent rather than directly/solely positive. "
2024-12-19 - NSM - Taking art from Artificial Int,Both Risks and Benefits,,"There's a reference to humans receiving instructions from machines; I've chosen to code this as a reference to Risk 5.2 (loss of autonomy) even though it's preceeded with ""could robots rule the world?"", which itself could be mistaken for a misalignment risk (7.1). ",,Ambivalent,Describes the images crated by an artist working with AI to explore impacts of AI. ,Concrete/existing,
2024-12-20 - STF - How Santa is using artificial,Only Benefits,,,,Positive,An article describing various ways that AI and other tech supports Santa during Christmas time. ,Hypothetical or predicted,
2025-01-05 - RNZ - Diabetes doctor caught in up d,Both Risks and Benefits,,,,Negative,A professor is being umpersonated using AI to sell a scam product. ,Concrete/existing,
2025-01-09 - SCP - Trailblazer On Upskilling Kiwi,Both Risks and Benefits,,"There's a reference to training local young people in AI so they don't have to leave the region; it seems to be saying ""we'll enable young people to get jobs in Rotorua rather than getting jobs in other cities,"" rather than referring to an AI-specific socio-economic risk, so I won't code this. Additionally, a reference to people not losing their jobs (6.2), but using AI to automate boring work - I'll count this as a risk 6.2 being negated. The suggestion to be risk averse about putting information into AI is a risk to some form of privacy/security risk but it's unclear if they're worried about the system being hacked, or the AI company using/sharing the information, so this is a Domain 2 risk, without enough info to determine a subdomain. ",,Ambivalent,"Describes council's current use of AI and hopes for benefits of AI use, alongside comments from a Rotorua AI business expert. ",Both concrete and potential,
2025-01-09 - TST - DB Breweries adds AI into mix,Only Benefits,,,,Positive,DB breweries is using AI to add additional safeguards to prevent crashes.,Concrete/existing,
2025-01-14 - NZH - Woman loses $1.5m in Pitt scam,Only Risks,,,,Negative,Describes a recent scam where a scammer used AI to impersonate Brad Pit. ,Concrete/existing,
2025-01-15 - NZH - From 3G shutdown to AI slop- T,Both Risks and Benefits,,"There's reference to Meta creating AI bots and masquerading these as real users. It seems clear that this is deliberate, but it's unclear whether they're using the bot to collect data (seems closest to 4.1, surveillance at scale) or as a way to get personal gain or targeted manipulation. In any case, it seems to suggest that Meta is doing this to profit off the information or the accounts, and there's a reference to suspicion that Meta is using these AI bots for padding users' likes, which would be a personal benefit (people spend more time on the platform; their product is worth more to advertisers), so I've marked this as Risk 4.3 (Fraud, scams, targeted manipulation). ",,Negative,"Describes good and bad trends of 2024, including AI slop. ",Concrete/existing,
2025-01-25 - NZH - AI child sex images sound alar,Only Risks,,,"Says that rapid progress in AI may result in some laws needing updating; also says that current laws offer protections. Therefore, I'm coding this as both ""Risk 6.5 (governance failure) referenced, and negated."" There's a risk that's hard to fit into the MIT Domain taxonomy, that law enforcement becomes swamped with fake images, and is unable to do their job to find real children being abused for CSAM. ",Negative,"Describes how CSAM is impacted by AI in NZ and internationally, and includes commentary on a recent court case in NZ.",Concrete/existing,
2025-01-28 - RNZ - AI integration in education mu,Both Risks and Benefits,,,,Ambivalent,A leader in Education in the Pacific discusses important considerations for adopting AI in Pacific Education. ,Concrete/existing,
2025-01-28 - RNZ - Government releases artificial,Only Risks,,"Existing guidance and newly released framework are represented as adequate, so I've coded this as ""risk 6.5 negated""",,Positive,"A new framework has been released for government use on AI, with guidance for use of generative AI coming out soon. ",Concrete/existing,
2025-01-29 - RNZ - Our Changing World- Predator t,Only Benefits,"The trap only goes off when there's a possum or rodent detected, in comparison to other traps, which might go off when other animals are present. Therefore, AI-assisted traps are more accurate or precise than a non-AI trap. ",,,Positive,New AI-assisted traps can identify what kind of animal is in the trap before triggering. ,Concrete/existing,
2025-01-30 - PRS - Warning on China spy risk from,Only Risks,,,,Negative,A cybersecurity firm has issued a warning that Deepseek could be used to collect sensitive personal data. ,Concrete/existing,
2025-01-30 - RNZ - NZ innovators using artificial,Both Risks and Benefits,,,,Positive,New AI-assisted traps can identify what kind of animal is in the trap before triggering. ,Concrete/existing,
2025-02-02 - RNZ - New guidelines released for pu,Both Risks and Benefits,,,,Positive,A new framework has been released for generative AI coming out soon. ,Concrete/existing,
2025-02-03 - NSM - AI system to help prevent drow,Both Risks and Benefits,,,,Ambivalent,"A new AI video model is being used to identify potential drownings, supporting lifeguards to respond quickly. ",Concrete/existing,"Explains some risks, and ways in which these risks are being managed. While it ultimately lands positive tone about the technology, it presents enough risks that I'm coding this as Ambivalent. "
2025-02-04 - RNZ - New Zealand public services re,Both Risks and Benefits,,"There's a quick reference to 5.2 - that kiwis have a right to know when  decisions are being made about them (but doesn't explain why). The reference in the final sentence, though it mentions transparency, is talking about transparency about when AI is being used (rather than Risk 7.4, transparency and interpretability of an AI system). Therefore, I've also coded this final sentence as Risk 5.2. It's unclear which type of discrimination and bias is built into the systems, so I've tagged this as Risk 1 (no subdomain). ",,Ambivalent,Summarises ways that AI is being used across New Zealand's public service. ,Concrete/existing,
2025-02-07 - NZH - Woman loses $375k in Martin He,Only Risks,,"The woman did have emotional reliance on the scammer, at one point, but this was under the illusion that it was a human  (Henderson). Therefore, I'm not  coding this as a 5.1 risk (overreliance on AI), as the person didn't know they were interacting with an AI. ",,Negative,Describes the experience of a woman who lost money to a scam assisted by AI-generated images. ,Concrete/existing,
2025-02-12 - RNZ - New uses of artificial intelli,Both Risks and Benefits,,"There's a sentence implying that regulation and governance is harmful, as it slows down innovation and adoption. I've classed this as ""6.5 negated.""",,Positive,Describes how AI is used across the public service including in health applications and public service. ,Concrete/existing,
"2025-02-16 - PRS - Retired volunteers, AI to welc",Only Benefits,,,,Positive,"Volunteers in Nelson are using AI to access a knowledge database, replacing the functioning of the closed-down i-Site",Concrete/existing,
2025-02-16 - RNZ - Googles AI has been breaching,Only Risks,,"Even though it mentions collection of data without permission, this doesn't clearly reference use of AI to do that, and therefore I am not coding this as a reference to Risk 4.1 or 6.5. ",,Negative,Google's AI is sometimes able to produce names of people who are under name suppression. ,Concrete/existing,
2025-02-17 - WHC - AI tackles woody debris proble,Only Benefits,,,,Positive,Ai is being used to identify wooden debris that requires cleanup after weather events. ,Concrete/existing,
2025-02-19 - RNZ - Microsoft signs deal with Spar,Only Benefits,The article seems to be suggesting that public cloud tech is getting an upgrade in order to support greater use of AI,,"Discussion about storage location and processing location of AI could be relevant here, e.g. data sovereignty and being able to keep data from AI applications onshore. ",Neutral,Spark is planning an infrastructure upgrade to its public cloud,Hypothetical or predicted,"Doesn't take a stance on AI, but merely says that the company is readying itself for greater AI use. "
2025-02-20 - TST - AI tech gives farmers meat qua,Both Risks and Benefits,,"The reference to automation suggests that staff would do something else if they were freed up, rather than being fired; I'll code this as ""Risk 6.2 (job loss) negated"", as it indicates that job loss would not be the issue here. ",,Positive,A meat probe uses AI to carry out quality assessments on meat. ,Concrete/existing,
2025-02-25 - RNZ - New generation AI tool develop,Only Benefits,,,,Positive,A new volcano prediction tool may support early warning that could save lives. ,Concrete/existing,
2025-02-25 - WHC - AI models might help to predic,Only Benefits,,,,Positive,A new volcano prediction tool may support early warning that could save lives. ,Concrete/existing,
2025-02-26 - TST - An arborists MRI- Trial tech m,Only Benefits,,,,Positive,"New AI technology can assess trees, enabling arborists to work more effectively. ",Concrete/existing,
2025-02-27 - GHT - More victims of actor romance,Only Risks,,"The woman did have emotional reliance on the scammer, at one point, but this was under the illusion that it was a human  (Henderson). Therefore, I'm not  coding this as a 5.1 risk (overreliance on AI), as the person didn't know they were interacting with an AI. ",,Negative,Describes the experience of a woman who lost money to a scam assisted by AI-generated images. ,Concrete/existing,
2025-02-27 - RNZ - Baby steps for AI volcano fore,Only Benefits,,,,Positive,A new technology can help to predict volcanic unrest in the Pacific.,Concrete/existing,
2025-02-28 - NZH - Outrage at university AI tutor,Both Risks and Benefits,,,,Negative,Students respond to a University course stating that their course will contain AI tutors this year. ,Concrete/existing,
2025-02-28 - RNZ - NZ police part of global opera,Only Risks,,,,Negative,"New Zealand police are part of a global operation targeting CSAM, and uncovering a large amount of AI-generated CSAM. ",Concrete/existing,
2025-03-01 - SCP - MPs Instructed To Remove Four,Only Risks,,"I'm coding this as both 4.1 (surveillance at scale) and 2 (privacy and security risks), as it's referring to the potential for the Chinese government to obtain users' sensitive information through the application; it's unclear exactly how the Chinese government would do that (whether through risk 2.1 or 2.2). ",,Negative,Discusses a range of security concerns about the new app DeepSeek. ,Concrete/existing,
2025-03-02 - RNZ - Kiwi woman hands over biometri,Only Risks,,"The risk is specifically about the data being stolen by third parties, i.e. Risk 2.2",,Positive,"Describes the process of finding talent for, and creating the world's first AI clone of a customer in a NZ company's advertisements. ",Concrete/existing,
2025-03-02 - TMH - Mindhive to grade leather for,Only Benefits,,,,Positive,Describes an AI-based leather grading system developed by a New Zealand company. ,Concrete/existing,
2025-03-06 - DRV - Will AI replace car designers,Both Risks and Benefits,,,,Ambivalent,AI is being used to support design in cars. ,Concrete/existing,"Mentions a few positives and negatives; in total, the article comes across as informative and balanced rather than wholly positive or negative towards AI. "
2025-03-08 - WHC - Liz first customer to be clone,Both Risks and Benefits,,,,Ambivalent,"Describes experience of Liz, the first customer to be used in an advertisement via AI clone. ",Concrete/existing,
2025-03-09 - SCP - AI Could Enhance Democracy - E,Both Risks and Benefits,"Other wellbeing, here, is strengthened democracies. ",,,Ambivalent,Councillors discuss the risks and benefits of AI for use in the Canterbury Regional council. ,Both concrete and potential,
2025-03-14 - STF - Is AI in politics the final te,Both Risks and Benefits,,"Risks referenced: Risk of job loss due to AI (Risk 6.2), over-reliance on AI for tasks like captioning (mentions that these should always be checked by a human; this is relevant to Risk 5.2). I'm coding the reference to safe implementation as Risk (no domain coded) because it's unclear what kind of safety they're meaning, (QUOTE: Recent guidance issued to the public service last month, titled Responsible AI Guidance for the Public Service, aimed to guide â€œagencies to explore and adopt GenAI systems in ways that are safe, transparent and responsibleâ€ .)",,Ambivalent,A survey of different uses of AI across MPs and their offices. ,Both concrete and potential,
2025-03-15 - NZH - AI start-up helping real estat,Only Benefits,,,,Positive,Describes a new software tool to use natural language search for houses and real estate. ,Concrete/existing,
2025-03-16 - TST - This AI technology could reall,Only Benefits,,,,Positive,"A company sells technology that can be used to survey focus groups, and analyse results very quickly, ",Concrete/existing,
2025-03-18 - RNZ - The future of warfare- Killer,Both Risks and Benefits,,,,Ambivalent,Summarises current AI use in warfare,Both concrete and potential,
2025-03-19 - RNZ - Online safety fears- Its reall,Only Risks,,,,Negative,Summarises a survey of New Zealanders' attitudes towards online safety and AI. ,Both concrete and potential,Strikes an overall negative tone. 
2025-03-19 - SCP - Where Does NZ Stand On Killer,Both Risks and Benefits,,"Discussion about governance risks also bring in potential consequences of over-governance for developing countries who may benefit from use of AI to develop, and where that use of AI may be banned by international legislation. This isn't directly an example of power concentration among those who use AI (Risk 6.1), so I haven't coded it as such. This content is still about explaining the risk of failing to govern AI appropriately."," While it does mention the speed of progress, there isn't a reference to the risk from fast prgress (Risk 6.4). Therefore, this is a notable absence, where it's surprising to me that they don't mention the risk of AI firms being embraced for defense technologies may lead to corners being cut and/or unsafe deployment. ",Ambivalent,"Summarises the NZ position on use of autonomous weapons systems, and international attempts to regulate such systems. ",Concrete/existing,"Presents a few positives of AI use, and reasons why less regulation may be desirable, so this is ambivalent, rather than a directly negative tone towards AI. "
2025-03-20 - RNZ - Could speed cameras be used to,Both Risks and Benefits,,,,Positive,"Describes new speed cameras that can detect tailgating, speeding in variable speed zones, phone use, and the potential to eventually detect drunk driving. ",Both concrete and potential,
2025-03-20 - RNZ - Military robots and thinking t,Only Risks,,"The reference to governance challenges presents this as a risk (at the time that people are trying to keep up and trail new technologies, the attempts to govern this responsible have stalled) so I am coding this as a refernce to Risk 6.5. Similarly, there is an explanation of the desire to keep up with new equipment and technologies while we also need to push for international ethical standards; I'm coding this as a reference to risk 6.4, although it's not extremely explicit. Although it's slightly ambiguous whether AI is involved in the second-to-last paragraph, the full article is about AI in the military, so I'll code this as both Risks 4.1 and 4.2 (disinformation, cyberattacks). ",,Ambivalent,Describes current applications of AI in military across the world,Both concrete and potential,
2025-03-20 - WKT - Good luck getting a job withou,Both Risks and Benefits,,"The risk of being shut out of the job market arises from the algorithms reinforcing a specific type of profile (Risk 6.1), or discrimination and bias (1.1), but this isn't the risk of job loss or inequality from job loss due to increasing AI use for work tasks (6.2)","Notably doesn't mention the risk that recruiters may over-rely on AI recommendations and therefore miss out (Risk 5.2). These might be under the ""complex ethical implications"" mentioned in middle of the first page? ",Ambivalent,Describes current use and expert reflections on use of AI in recruitment,Both concrete and potential,
2025-03-21 - RNZ - Podcast Levittown investigates,Both Risks and Benefits,,,,Negative,Summarises a recent podcast that investigated use of AI to create deepfake pornography. ,Concrete/existing,
2025-03-24 - RNZ - Spy agency minister Judith Col,Only Benefits,,"There's a reference to an endorsement for an international blueprint of action on military AI rules; I haven't counted this as a Risk 6.5 (governance failure) reference, because it's not specifically pointing to this as a challenge or risk of harm from inadequate governance. ",,Neutral,Summarises New Zealand's international collaborations on cyber security. ,Concrete/existing,"Doesn't take a stance on AI, but just states how it is used. "
2025-03-25 - RNZ - INZ introducing automated deci,Both Risks and Benefits,,"From the type of AI and decision-making that it is referring to (recommending a visa be accepted or rejected), it's clearly Risk 1.1 instead of Risk 1.3, so I've coded this by subdomain. ",,Ambivalent,Describes Immigration New Zealand's planned introduction of automated decision-making to accept visa applications,Concrete/existing,"Although it isn't implimented yet, the technology exists, so I'm counting this as a concrete/existing application of AI. The risks and benefits involved are quite well-understood, in comparison to some technologies which haven't had proof-of-concept yet and remain hypothetical. "
2025-03-26 - PST - Heartbroken and powerless- Wai,Only Risks,,"While it mentions the power imbalance, the context shows that it's a power imbalance relating to ability to govern/regulate the tech (Risk 6.5) rather than ability to design the technology to privilege the developers' needs (which would be Risk 6.1)",,Negative,Describes the challenge for authors who find their works have been used to train AI. ,Concrete/existing,
2025-03-28 - STF - Dont swallow chubby-skinny fil,Only Risks,,Risk 6.1 because the fat filter is createdand used  in a way that reinforces the cultural paradigms of those who made it. This one is slightly debatable. ,,Negative,A filter on TikTok uses AI to create images that suggest what a person might look like if they were more fat than they are. ,Concrete/existing,
2025-04-01 - RNZ - No armed drones in NZDF arsena,Only Risks,,Doesn't mention risk of inadequate governance when it references legislation; seems to avoid making a weighted statement in either direction. The article does describe numerous instances of AI posessing dangeous capabilities such as lethal weapons. ,,Neutral,"Describes current (lack of) use of armed drones in the NZ Defense force, and international context on use of armed or autonomous drones. ",Both concrete and potential,
"2025-04-04 - STF - AI wrote my explainer, now its",Only Risks,,,,Ambivalent,Describes impact of AI on jobs through the lens of an AI-written explainer. ,Both concrete and potential,
2025-04-06 - STF - AI is like having a high-perfo,Both Risks and Benefits,,"When talking about the use and adoption of AI, this isn't a race dynamic (risk 6.4), but rather a reference to risk of inequality arising from job loss (Risk 6.2). ","There's a mention of language models becoming arbiters of trust, but it doesn't present this as a risk that people will be misled or over-rely on the recommendations from AI systems, so I haven't coded this as a risk 5.2",Ambivalent,Describes various uses and challenges of using generative AI in law. ,Both concrete and potential,
2025-04-07 - PRS - Will AI replace local politici,Both Risks and Benefits,,,,Ambivalent,Discusses how Canterbury regional council is using and governing the use of AI,Both concrete and potential,
2025-04-07 - RNZ - Bougainville president condemn,Only Risks,,"As this is political misinformation, I'm coding this as Risk 4.1 (as opposed to incidental misinformation via hallucination (risk 3.1), or targeting of individuals through exploitation, fraud or deepfakes (Risk 4.3)). The article says that we must develop ethics of how we use this platform, but doesn't clearly point at a risk that these platforms are difficult to govern, so I am not coding this as a 6.5 Governance Failure risk. ",,Negative,Describes recent political misinformation or disinformation campaign targeting bougainville president. ,Concrete/existing,
2025-04-07 - RNZ - The New Zealand institution he,Both Risks and Benefits,,,,Negative,Describes use of AI to order NZ Herald's front page,Concrete/existing,Strikes a negative tone overall
2025-04-07 - TMH - Robots for neurodiverse learne,Only Benefits,,,,Positive,An AI-assisted robot is supporting neurodiverse learners to learn how to code. ,Concrete/existing,
2025-04-09 - BOP - MSD denies plans for automated,Both Risks and Benefits,,"This article is difficult to code risks for. The obvious ones: Risk 1 (bias in decision-making) because they're talking about the necessity of designing a system consistent with the standard so that everyone gets their correct entitlement and isnt' discriminated against. They're also talking about the potential risk of increasing hardship for vulnerable populations. While this COULD refer to loss of agency, it doesn't explicitly say this (which would be Risk 5.2). I think they're referring to Risk 6.1 (that the use of AI benefits the company using AI, but not MSD's beneficiaries). ",,Ambivalent,"Salvation Army and Law Society react to the government's law change, out of fear that it will introduce the use of AI to benefits. ",Hypothetical or predicted,"The article is largely talking about a hypothetical introduction of automated decision-making that isn't planned, but just is suspected based on a proposed law change. "
2025-04-09 - RNZ - Artificial intelligence exam-m,Both Risks and Benefits,,,,Ambivalent,"NZQA will start using AI for marking examinations, while also raising concerns about misuse by students in internal assessments. ",Concrete/existing,"Talks about benefits of exam marking using AI, as well as risk of misuse by students in their exams"
2025-04-09 - RNZ - Ministry of Social Development,Both Risks and Benefits,,"Unclear exactly which type of risk this is referencing, for Bias and discrimination, so I'll code as Risk 1 rather than a specific subdomain. This article talks about the lack of capability of the AI system to account for the complexities of the decisions MSD makes (Risk 7.3, lack of capability at the task it's designed for). Similar to above, it talks about the use of automated systems which may benefit the company deploying it, but not the beneficiaries of MSD (Risk 6.1).  ",,Ambivalent,"Salvation Army and Law Society react to the government's law change, out of fear that it will introduce the use of AI to benefits. ",Hypothetical or predicted,"The article is largely talking about a hypothetical introduction of automated decision-making that isn't planned, but just is suspected based on a proposed law change. "
2025-04-09 - RNZ - There should always be a human,Both Risks and Benefits,,"This article referneces the risk of AI being used to help develop weapons (Risk 4.2), as well as AI being used alongside or to control lethal weapons (Risk 7.2). Additionally, there's a lot of reference to the challenge of governing AI internationally. Finally, there's a mention of using drones for surveillance, but this isn't clear they're talking about AI specifically. ","Doesn't reference risk 5.2 (loss of human agency and autonomy), as it doesn't mention the loss of military ability to control the killer drone-related actions. Instead, it refers to Risk 7.2 (AI posessing dangerous capabilities) where an AI may fail without adequate safeguards in place. The inclusion of a human in the loop is an example of a safeguard. Similarly, mentioned that NZ was acquiring drones to protect us agianst other drones, and also the increase in military budgets as % of GDP in US and Europe (i.e. an example of an arms race) but doesn't paint this as a risk or potential for the arms race to make the nature of warfare more dangerous, and therefore this doesn't qualify as a reference to Risk 6.4.  ",Ambivalent,Describes New Zealand and international approaches to use of autonomous drones in warfare and defense. ,Both concrete and potential,
2025-04-11 - NZH - Robots boost efficiency at Auc,Both Risks and Benefits,,"""minor teething issues with the software"" doesn't give any indication of the challenge they faced. I'll code this as a Risk without any domain or subdomain. ",,Positive,Describes use of an AI robot to work at a warehouse. ,Concrete/existing,
2025-04-14 - RNZ - AI widely used in public secto,Both Risks and Benefits,,"""Worried about the use of AI in recruitment and promotion decisions"" does seem to me to be a reference to relying on the use of AI without applying a person's critical thinking in the processes (Risk 5.1) This is combined with Risk 1.1 of discrimination in these applications, so I'll code it as a reference to both. Additionally, it seems reasonable to assume that they're worried about Risk 1.1 (discrimination through learned bias) becuase they're talking about decision-making systems here. ",,Negative,Describes results of a recent survey about public and community services' use of AI. ,Concrete/existing,"Although there's a reference to a benefit, the overall tone is negative so I've coded this as negative towards AI. "
2025-04-16 - NAD - AI readiness slips despite inv,Only Risks,,"Doesn't explicitly mention the harms that may come from a race to deploy AI systems, and doesn't seem to be referencing the AI race as a potential risk (instead, just seems to be mentioning it to build undersanding of how people are currently acting). Therefore, I haven't coded this as Risk 6.4. There's a risk that expected returns from AI fail to eventuate, which doesn't fit under any specific risk in the domain taxonomy. Finally, the following reference was vague enough that it could refer to any socioeconomic risk, so I coded this as Risk Domain 6 without a subdomain: ""â€œAt the same time, it is crucial that all stakeholders ... work together to develop local talent so that the entire ecosystem can benefit.â€""",,Ambivalent,"AI readiness index results came back, lower than expected",Both concrete and potential,
2025-04-17 - RNZ - Charity launches AI chatbot th,Only Benefits,,,,Positive,"A charity has designed an AI chatbot to provide support for veterans 24-7, after their volunteers were burning out. ",Concrete/existing,"The technology is in beta stage, but has completed a successful proof of concept. "
2025-04-21 - NZH - Ask the right questions to use,Both Risks and Benefits,,,,Ambivalent,Suggests how a reader might use AI to support personal decision-making and life admin tasks. ,Concrete/existing,Describes a number of positives and negatives. 
2025-04-24 - NZH - Australian senators warning to,Both Risks and Benefits,,,,Negative,"Australian examples of political deepfakes serve as a warning for New Zealand political interference using AI technology, according to commentators. ",Concrete/existing,
2025-04-24 - RNZ - AI use for job seekers- Defaul,Both Risks and Benefits,,"Reference to discrimination seems to be clarified by Dr Taiuri, who talks about the question being focused around whether the automated decision-making is built on data that was biased against Maori, Pasifika, immigrants etc. ",,Negative,Describes risks of affirmation bias if MSD begins using an automated decision-making tool for beneficiary decisions. ,Both concrete and potential,Takes an overall negative stance towards automated decision-making. 
2025-04-26 - RNZ - Researchers uncover link betwe,Only Benefits,,,,Positive,Researchers find a link between eye health and alzheimers or dementia. ,Both concrete and potential,
2025-04-26 - STF - Will AI mean the end for inter,Both Risks and Benefits,,"It's saying that AI will be required for future work (Risk 6.2 refers to job loss by those who don't learn how to use AI in their roles), and also states that job loss won't really be a problem (thereby dismissing Risk 6.2). ",,Positive,Describes different ways that AI can benefit workers.,Both concrete and potential,"Strikes a positive tone, and all risks are presented alongside mitigations. The overall tone is positive. Some of the discussion points are about future use of AI in general, whereas others are looking at specific applications that exist already. "
2025-04-29 - RNZ - Police trial data extraction t,Both Risks and Benefits,,"Mentions misuse/surveillance application in the past using Clearview AI, where the police weren't authorized for that use. ",,Ambivalent,Describes new police technologies that use AI. ,Concrete/existing,
2025-04-30 - NZH - Start-up signs deal with Briti,Only Benefits,,,,Positive,A startup is using AI to improve operational processes as well as to improve accuracy of fog prediction for aviation. ,Concrete/existing,
2024-09-03 - WAA - AI cure sough for GP,Only Benefits,,,,Positive,Discusses various potential avenues for using AI to improve the healthcare system. ,Hypothetical or predicted,Isn't clear whether they're talking about existing usage; they seem to be thinking about potential future usage of AI to improve the healthcare system in various ways. 
2024-06-260- WAA - AI hack in Ngāti Porou reo re,Only Benefits,,,,Positive,Describes an AI designed to support Māori to learn te reo Māori in their local dialect. ,Concrete/existing,
2025-02-26 - WAA - Angitū explores AI in Te Ma,Both Risks and Benefits,,,,Positive,Angitū performed a haka about the pros and cons of AI in Te Matatini haka competition,Both concrete and potential,Unclear from the article exactly whether the AI referenced is hypothetical or currently existing. 
2024-11-08 - WAA - Education experts urge care,Only Risks,,,,Ambivalent,Describes different thoughts and approaches to AI use in classrooms. ,Concrete/existing,
2024-11-21 - TAM - Experts explore using AI in,Both Risks and Benefits,,,,Ambivalent,A symposium of experts and innovators has been convening to discuss AI incorporation into classrooms. ,Both concrete and potential,
2024-07-22 - WAA - Iwi takes punt on code for Hi,Only Benefits,,,,Positive,Ngāti Kahunguni ki Tāmaki-nui-a-Rua is using AI to create an interactive game that explores local stories. ,Hypothetical or predicted,They haven't yet complete a proof of concept for the game. 
2024-07-29 - TAM - Olympic sprinter Zoe Hobbs,Only Benefits,,,,Positive,AI is being used by an Olympic sprinter to improve their technique. ,Concrete/existing,
2024-09-09 - WAA - Peter Lucas Jones ranked wi,Both Risks and Benefits,,,,Positive,"Profiles Peter Lucas-Jones, who was recently named on the Time Magazine's top 100 inlfuencers of AI. ",Concrete/existing,
