Article,Risk Domain,Subdomain,Risk depth,Comment on depth of risk
2025-03-25 - RNZ - INZ introducing automated deci,1,1.1,Elucidating,"Concerns that human biases could be baked into decisions = a definition of the problem, and almost gives a mechanism for how this might occur, but doesn't directly mention that dataset biases could lead to AI decision-making biases. "
2025-03-25 - RNZ - INZ introducing automated deci,6,6.2,Elucidating,Mentions potential decline in employment or employment quality through use of AI; doesn't explain loss of jobs or employment quality in depth. 
2025-03-25 - RNZ - INZ introducing automated deci,6,6.5,Elucidating,"Points at the need for adequate oversight, and mentions why these are needed (will affect response to migrant exploitation and national security risks; guidelines are used to define checks needed for transparency, oversight, and to overcome bias). "
2025-03-25 - RNZ - INZ introducing automated deci,5,5.2,Quasi-scientific,
2025-03-25 - RNZ - INZ introducing automated deci,7,7.4,Informatory,
2025-03-26 - PST - Heartbroken and powerless- Wai,6,6.3,Quasi-scientific,
2025-03-26 - PST - Heartbroken and powerless- Wai,6,6.5,Quasi-scientific,
2025-03-28 - STF - Dont swallow chubby-skinny fil,8,8,Informatory,
2025-03-28 - STF - Dont swallow chubby-skinny fil,6,6.1,Informatory,"Doesn’t explicitly reference the concentration of power towards those who look like AI developers, but does make it clear that AI filters enable social privileges to be reinforced. "
2025-04-01 - RNZ - No armed drones in NZDF arsena,7,7.2,Quasi-scientific,
"2025-04-04 - STF - AI wrote my explainer, now its",6,6.1,Elucidating,
"2025-04-04 - STF - AI wrote my explainer, now its",7,7.3,Elucidating,Describes some of the skills that AI isn't capable of. Doesn't mention how these skills deficits arise or why. 
"2025-04-04 - STF - AI wrote my explainer, now its",6,6.2,Quasi-scientific,
2025-04-06 - STF - AI is like having a high-perfo,6,6.2,Elucidating,
2025-04-06 - STF - AI is like having a high-perfo,7,7.3,Elucidating,
2025-04-06 - STF - AI is like having a high-perfo,0,0,Informatory,
2025-04-06 - STF - AI is like having a high-perfo,2,2,Informatory,
2025-04-07 - PRS - Will AI replace local politici,0,0,Informatory,
2025-04-07 - PRS - Will AI replace local politici,4,4.1,Informatory,
2025-04-07 - PRS - Will AI replace local politici,6,6.2,Informatory,
2025-04-07 - PRS - Will AI replace local politici,6,6.5,Informatory,
2025-04-07 - RNZ - Bougainville president condemn,4,4.1,Quasi-scientific,
2025-04-07 - RNZ - The New Zealand institution he,3,3.2,Quasi-scientific,Clear example and explanation given. 
2025-04-07 - RNZ - The New Zealand institution he,6,6.2,Informatory,
2025-04-09 - BOP - MSD denies plans for automated,6,6.5,Elucidating,"This article is talking about the challenge of regulating AI effectively, as enabling AI may make it difficult to walk back from using AI; progressing these safeguards may enable a lax approach to decision-making. Doesn't really explain why. "
2025-04-09 - BOP - MSD denies plans for automated,7,7.3,Elucidating,
2025-04-09 - BOP - MSD denies plans for automated,6,6.1,Quasi-scientific,
2025-04-09 - BOP - MSD denies plans for automated,1,1,Informatory,
2025-04-09 - RNZ - Artificial intelligence exam-m,4,4.3,Informatory,
2025-04-09 - RNZ - Ministry of Social Development,1,1,Elucidating,"References that unfair decisions can be made, without stating how these unfair decisions arise (assuming it's via biased training data), therefore this is an informatory reference to Discrimination. The reference to AI not being able to account for the complexities is a reference to Risk 7.3. "
2025-04-09 - RNZ - Ministry of Social Development,5,5.2,Elucidating,"States a scenario where the use of automated decision-making may cause issues, but doesn't explain why automated decision-making could lead to a lock-in of AI biases or lock-out of human ability to steer the system. "
2025-04-09 - RNZ - Ministry of Social Development,6,6.5,Elucidating,
2025-04-09 - RNZ - Ministry of Social Development,7,7.3,Elucidating,
2025-04-09 - RNZ - Ministry of Social Development,6,6.1,Quasi-scientific,
2025-04-09 - RNZ - There should always be a human,4,4.2,Elucidating,
2025-04-09 - RNZ - There should always be a human,7,7.2,Quasi-scientific,
2025-04-09 - RNZ - There should always be a human,6,6.5,Quasi-scientific,
2025-04-11 - NZH - Robots boost efficiency at Auc,7,7.3,Informatory,
2025-04-14 - RNZ - AI widely used in public secto,1,1.1,Informatory,
2025-04-14 - RNZ - AI widely used in public secto,5,5.2,Informatory,
2025-04-14 - RNZ - AI widely used in public secto,6,6.2,Informatory,
2025-04-16 - NAD - AI readiness slips despite inv,6,6,Informatory,
2025-04-16 - NAD - AI readiness slips despite inv,8,8,Informatory,AI snake oil? Overpromises? 
2025-04-21 - NZH - Ask the right questions to use,3,3.1,Elucidating,
2025-04-21 - NZH - Ask the right questions to use,2,2.1,Informatory,"Doesn't explain why sensitive data shouldn't be uploaded, but clearly references the risk that something bad could happen if so. "
2025-04-24 - NZH - Australian senators warning to,4,4.1,Quasi-scientific,
2025-04-24 - NZH - Australian senators warning to,4,4.3,Quasi-scientific,
2025-04-24 - NZH - Australian senators warning to,6,6.5,Quasi-scientific,
2025-04-24 - RNZ - AI use for job seekers- Defaul,7,7.3,Elucidating,
2025-04-24 - RNZ - AI use for job seekers- Defaul,1,1,Quasi-scientific,"Explains effect of automated decision-making on vulnerable communities relates to whether the data reflects the nuances of these communities. This could be Risk 1.1 or Risk 1.3. However, it does explain that the cause of the biased algorithm is the quality of the data it was trained on. "
2025-04-24 - RNZ - AI use for job seekers- Defaul,5,5.2,Quasi-scientific,
2025-04-24 - RNZ - AI use for job seekers- Defaul,6,6.5,Quasi-scientific,
2025-04-26 - STF - Will AI mean the end for inter,3,3.1,Elucidating,
2025-04-26 - STF - Will AI mean the end for inter,6,6.2,Quasi-scientific,
2025-04-26 - STF - Will AI mean the end for inter,4,4.3,Informatory,
2025-04-29 - RNZ - Police trial data extraction t,2,2,Elucidating,"Unclear how data could be leaked, but this does help the reader understand that data could be leaked to third parties through the AI toold or surrounding software processes. I'm calling this a definition. "
2025-04-29 - RNZ - Police trial data extraction t,4,4.1,Elucidating,States what the example of misuse was - that they accessed ANPR without proper authorzation - but doesn't explain what's risky or challenging about that. 
2025-04-29 - RNZ - Police trial data extraction t,6,6.5,Informatory,
